term,slug,definition,related_terms,unresolved_related_terms
ONU – Convenções de Drogas,onu-convencoes-de-drogas,"As Convenções das Nações Unidas que formam a base legal internacional sobre entorpecentes e psicotrópicos. Em especial, a **Convenção Única de 1961 sobre Entorpecentes** (com emenda de 1972\) incluiu a **cannabis** e sua **resina** nas Listas I e IV (as mais restritivas, reservadas a drogas de alto risco e 71 pouco uso médico) , efetivamente proibindo seu uso não-médico em todos os países signatários (a grande maioria do mundo). Essa classificação influenciou as leis nacionais, levando à proibição da maconha globalmente por décadas. Em 2020, porém, a Comissão de Entorpecentes da ONU (CND), seguindo recomendação da **OMS**, votou pela **remoção da cannabis da Lista IV** (mantendo na Lista I) . Isso reconhece formalmente o potencial medicinal da cannabis, embora ela siga controlada. 84 Outras convenções relevantes: a **Convenção de 1971 sobre Substâncias Psicotrópicas**, que foca em fármacos sintéticos (não inclui cannabis, mas define controle para THC puro – o dronabinol foi incluído nela); e a **Convenção contra o Tráfico Ilícito de 1988**, que reforça cooperação no combate às drogas ilícitas (e influenciou as leis antidrogas dos anos 1990). A ONU não “legaliza” nem “ilegaliza” diretamente, mas orienta as políticas. Com a reclassificação de 2020, espera-se maior facilidade para 84 pesquisa científica e uso medicinal internacional da cannabis . Ainda assim, cada país decide sua política interna – alguns rompem com as convenções ao legalizar recreativamente (como Uruguai e Canadá), enquanto outros aderem estritamente. Em suma, as convenções da ONU moldaram o cenário legal da cannabis no último século e continuam relevantes nas discussões de reforma.","[""Cannabis"", ""Dronabinol"", ""Legalização"", ""Maconha"", ""THC"", ""Tráfico Ilícito""]",[]
Opióides,opioides,"Embora não seja um verbete estritamente sobre cannabis, a relação entre a crise de opiáceos e a cannabis medicinal tornou-se um tópico técnico relevante. **Opióides** são potentes analgésicos derivados do ópio ou sintéticos (morfina, codeína, heroína, fentanil, oxicodona, etc.), que agem em receptores opioides no cérebro e corpo para aliviar dor, mas têm alto potencial de dependência e overdose. **Canabinoides**, por sua vez, atuam em receptores canabinoides e geralmente não deprimem o sistema respiratório – logo, o risco de overdose fatal com cannabis é virtualmente inexistente. Estudos recentes em locais com acesso à cannabis medicinal sugerem redução nas prescrições e mortes por opiáceos , indicando que pacientes podem substituir parcialmente opioides por 85 cannabis para dor crônica. Além disso, há evidências de que o sistema endocanabinoide e o sistema opioide interagem – por exemplo, a ativação de CB1 pode amplificar analgesia de opioides e, potencialmente, cannabis pode ajudar no desmame de opioides. Devido à epidemia de opioides (especialmente nos EUA), muitos pesquisadores e clínicos veem a cannabis medicinal como parte de estratégias de **redução de danos** e medicina da dor integrativa. Contudo, canabinoides não substituem 16 completamente opioides em dores agudas severas (pós-cirúrgicas, por ex.), mas podem reduzir a dose necessária. Em resumo, opióides e canabinoides são duas classes distintas de analgésicos: os primeiros agem no eixo endorfina e carregam alto risco de abuso e morte por overdose; os segundos agem no SEC e têm perfil de segurança muito mais favorável, embora menos potentes para dor intensa. A convergência dos dois sistemas no controle da dor é um campo de pesquisa promissor.","[""Analgésico"", ""CB1"", ""Cannabis"", ""Cannabis Medicinal"", ""Dor Crônica"", ""Endocanabinoide"", ""Indica"", ""Receptores Canabinoides"", ""SEC"", ""Sistema Endocanabinoide""]",[]
Portaria SVS/MS 344/1998,portaria-svsms-3441998,"Norma do Ministério da Saúde que aprova o regulamento técnico sobre substâncias e medicamentos sujeitos a controle especial no Brasil. Essa portaria contém diversas “listas” (A, B, C, F) de substâncias controladas. A **cannabis** e alguns derivados estão listados na **Lista E (plantas proscritas)** e **F2 (substâncias psicotrópicas proscritas)** da Portaria 344/98. Em outras palavras, desde 1998 a maconha (planta Cannabis sativa) e seu princípio ativo THC constavam como proibidos para uso médico ou quaisquer outros, salvo autorização excepcional. A **Resina de Cannabis** e extratos também estavam proscritos. A partir de 2015, houve atualizações pontuais: o **Canabidiol (CBD)** foi removido da lista de 16 proscritos e inserido na **Lista C1** (substâncias de controle especial permitidas) , reconhecendo seu uso terapêutico. Em 2017, o **Mevatyl (extrato 1:1 THC/CBD)** foi incluído como exceção na lista de medicamentos permitidos. Hoje, com a RDC 327/2019 permitindo produtos de cannabis, a Portaria 344 tem sido gradualmente adaptada. Entretanto, o THC (dronabinol) permanece listado na **Lista F2** (proscrito no Brasil, apesar de ser Categoria II internacionalmente), o que traz alguns entraves para registros de medicamentos contendo THC puro. A Portaria 344/98 é fundamental pois orienta as receitas: por exemplo, produtos de CBD ou THC atualmente disponíveis exigem receita B (azul) ou A, conforme classificação nela. Em suma, essa Portaria é a base da regulação de medicamentos controlados no Brasil e situou a cannabis no patamar de substância proibida, com exceções sendo esculpidas ao longo do tempo via atualizações administrativas.","[""CBD"", ""Canabidiol"", ""Cannabis"", ""Cannabis Sativa"", ""Dronabinol"", ""Maconha"", ""Mevatyl"", ""Resina de Cannabis"", ""Sativa"", ""THC""]",[]
Quimiovar,quimiovar,"Também chamado de **quimiotipo**, é um termo botânico que designa uma variante química dentro de uma espécie vegetal. No caso da cannabis, quimiovares são variedades (cultivares) classificadas não apenas por características físicas (morfologia), mas pelo perfil de metabólitos produzidos – principalmente canabinoides e terpenos . Pequenas diferenças genéticas ou ambientais podem 19 levar a perfis químicos bem distintos sem alterar muito a aparência da planta. Por exemplo, duas plantas de aparência semelhante poderiam ter quimiovares diferentes: uma rica em THC e outra rica em CBD. Cientistas sugerem que classificar a cannabis por quimiovar é mais preciso do que usar os rótulos tradicionais **""indica""** ou **""sativa""**, já que os efeitos farmacológicos dependem principalmente do conteúdo químico . Assim, os quimiovares são geralmente categorizados como: Tipo I 35 (predominância de THC), Tipo II (balanceado THC/CBD) e Tipo III (predominância de CBD), além de quimiovares ricos em outros canabinoides (CBG, por exemplo) ou em determinados terpenos. A noção de quimiovar é valiosa para a cannabis medicinal, pois direciona a escolha da variedade adequada conforme a necessidade terapêutica (p.ex., quimiovar rico em CBD para epilepsia, rico em mirceno para efeito sedativo, etc.).","[""CBD"", ""CBG"", ""Cannabis"", ""Cannabis Medicinal"", ""Chemovar"", ""Cultivares"", ""Indica"", ""Mirceno"", ""Sativa"", ""Sedativo"", ""THC"", ""Terpenos""]",[]
Receptores Canabinoides,receptores-canabinoides,"Proteínas receptoras acopladas à proteína G localizadas na membrana de células, que são os principais alvos de canabinoides endógenos e exógenos. **CB1** foi o primeiro receptor canabinoide identificado – encontra-se principalmente no sistema nervoso central (neurônios do cérebro e medula), 86 especialmente em regiões como córtex, hipocampo, gânglios da base e cerebelo . Também aparece, em menores quantidades, em órgãos periféricos como trato gastrointestinal, tecido adiposo e sistema endócrino. A ativação de CB1 (por agonistas como THC ou anandamida) leva a inibição da liberação de diversos neurotransmissores, resultando em efeitos neuromoduladores: analgesia (pela inibição de transmissores de dor), euforia/sedação, relaxamento muscular, interferência na memória de curto 1 87 prazo, estímulo de apetite, entre outros . Já o **CB2** é encontrado majoritariamente em células do sistema imunológico (baço, tonsilas, células microgliais no SNC) e em tecidos periféricos, como trato 88 gastrointestinal e células inflamatórias circulantes . Agonistas de CB2 (como 2-AG endógeno ou beta-cariofileno vegetal) tendem a modular a resposta imune e inflamação – por exemplo, ativar CB2 pode reduzir a liberação de citocinas pró-inflamatórias, funcionando como anti-inflamatório e 89 imunossupressor em certas condições . Diferente do CB1, a ativação do CB2 não causa efeitos psicoativos. Ambos receptores pertencem à família dos receptores acoplados à proteína Gi/o, cuja 17 ativação resulta em diminuição de AMP cíclico intracelular e outros mecanismos de sinalização. Além de CB1 e CB2, pesquisas sugerem a existência de outros receptores canabinoides não clássicos ou 44 “órfãos” (como GPR55, TRPV1, etc.) que também interagem com canabinoides . Em suma, CB1 e CB2 são peças centrais do **Sistema Endocanabinoide**: o primeiro mediando principalmente efeitos neurológicos/psicológicos, e o segundo mediando efeitos imunológicos. A afinidade variável dos canabinoides por esses receptores explica suas diferentes ações – p.ex., THC é agonista parcial de CB1 (por isso psicoativo) e de CB2; CBD tem baixa afinidade por ambos, agindo de formas indiretas.","[""2-AG"", ""Agonista"", ""Anandamida"", ""Anti-inflamatório"", ""Beta-Cariofileno"", ""Beta-cariofileno"", ""CB1"", ""CB2"", ""CBD"", ""Cariofileno"", ""Citocinas"", ""Endocanabinoide"", ""Neurotransmissores"", ""Psicoativo"", ""RSO"", ""Receptores Canabinoides"", ""Sistema Endocanabinoide"", ""Sistema Imunológico"", ""THC""]",[]
Resina de Cannabis,resina-de-cannabis,"A secreção pegajosa produzida pelas glândulas de tricomas das flores de cannabis. Quando coletada e compactada, forma substâncias como **haxixe** e **charas**. A resina bruta de cannabis é rica em canabinoides (particularmente THC) e terpenos – é nela que se concentra a potência psicoativa da planta. Tradicionalmente, a resina é separada por peneiração das flores secas ou por fricção manual das frescas. O produto final é de cor marrom esverdeada a quase preta, podendo ser moldado em blocos ou bolas. Em termos legais internacionais, a “resina de cannabis” é considerada entorpecente distinto da erva em si – tanto que foi listada separadamente (junto com a planta) na Convenção Única 90 71 de 1961 . Em diversos países, penas para posse de haxixe (resina) podem ser similares ou até mais severas que para a maconha, dado seu teor elevado de THC. Medicinalmente, a resina purificada pode ser usada na fabricação de extratos padronizados. Por exemplo, o Mevatyl (Sativex) é produzido a partir de extratos da resina combinados. Na farmacopéia, a resina (denominada **“Extractum Cannabis”** em algumas literaturas antigas) já foi utilizada como base para tinturas. No mercado ilícito, a resina pode ser adulterada com outras substâncias para aumentar peso ou modificar potência – do ponto de vista de saúde pública, isso é um risco. Com a difusão de técnicas modernas, há também a “resina viva” (*live resin*), produzida a partir de material fresco congelado, preservando terpenos. Em resumo, a resina é a essência concentrada da cannabis – seja em usos tradicionais (haxixe) ou em preparos modernos (extratos), é sinônimo de potência e precisa de pequena quantidade para efeito significativo.","[""Cannabis"", ""Haxixe"", ""Maconha"", ""Mevatyl"", ""RSO"", ""SEC"", ""Sativex"", ""THC"", ""Terpenos"", ""Tricomas""]",[]
Rick Simpson Oil,rick-simpson-oil,"Um tipo de óleo de cannabis de espectro completo, geralmente muito concentrado em THC, popularizado por Rick Simpson – um ativista canadense que divulgou sua receita para supostamente tratar seu câncer de pele e ajudar outros pacientes oncológicos. O RSO é tipicamente produzido por extração com um solvente leve (álcool isopropílico, etanol, etc.) de grandes quantidades de flores de cannabis ricas em THC, seguido de evaporação do solvente, resultando num óleo denso e escuro. A concentração de THC no RSO costuma ficar em torno de 50–80%, com boa presença de outros canabinoides e terpenos (portanto, full spectrum). Rick Simpson recomendava um regime de ingestão oral diária e tópica, com doses progressivas, alegando propriedades anticâncer. Embora haja muitos relatos anedóticos de benefícios (alívio de dor, melhora de apetite, redução de náuseas e até remissão de tumores em alguns casos isolados), o RSO não é um medicamento reconhecido formalmente, e seu uso deve ser cuidadoso devido à alta potência psicoativa. Ainda assim, o termo “RSO” se tornou quase sinônimo de óleo de cannabis artesanal potente. Algumas associações de pacientes produzem óleos parecidos (às vezes denominados “óleo integral”) para distribuir a pacientes com câncer e outras doenças graves, sob orientação médica. Do ponto de vista legal, o RSO contendo muito THC é ilegal na 18 maioria dos lugares, exceto se o paciente tiver autorização judicial ou estiver em jurisdição onde o cultivo e preparo medicinal próprio sejam permitidos. Em suma, o Rick Simpson Oil ocupa um espaço interessante: não é respaldado por pesquisas clínicas robustas, mas catalisou o movimento de uso de óleo de cannabis contra o câncer e outras condições, contribuindo para a atual busca científica por 91 efeitos antitumorais dos canabinoides . Muitas pessoas confundem RSO com “óleo de CBD” – vale ressaltar que o RSO clássico é principalmente THC.","[""CBD"", ""Cannabis"", ""Espectro Completo"", ""Full Spectrum"", ""Isolados"", ""RSO"", ""THC"", ""Terpenos"", ""Óleo de Cannabis""]",[]
RSO,rso,"Sigla para **Rick Simpson Oil**, óleo artesanal de cannabis muito concentrado em THC usado de forma compassiva. Ver **Rick Simpson Oil**.","[""Cannabis"", ""Rick Simpson Oil"", ""THC""]",[]
Sativa,sativa,"Nome científico dado inicialmente por Carolus Linnaeus em 1753 à planta do cânhamo cultivada na Europa. Hoje, “sativa” no jargão canábico refere-se a variedades/cepas de cannabis com certo conjunto de características: plantas mais altas, de folhagem fina e alongada, ciclo de floração mais longo, geralmente oriundas de regiões equatoriais (Tailândia, Colômbia, África etc.). Popularmente, acredita-se que as sativas proporcionem um efeito mais **estimulante ou energizante**, cerebral, com potencial criativo e eufórico, em contraste com as **indicas** mais sedativas. Exemplo de cultivares clássicas sativas: *Durban Poison*, *Thai*, *Acapulco Gold*. No entanto, do ponto de vista botânico e químico, essa distinção não é rígida. Muitas “sativas” podem ter perfil de terpenos e canabinoides que ocasionam relaxamento, e vice-versa. A maioria das plantas atuais são híbridos que combinam genéticas sativa e indica. Ainda assim, em dispensários e literatura de cultivo, usa-se a denominação “dominância sativa” para cepas com morfologia e efeito tendendo ao estimulante (geralmente ricas em THC e com terpenos como limoneno e pineno). *Cannabis sativa L.* permanece sendo o nome da espécie englobando todas as variedades – portanto, tecnicamente, tanto indicas quanto “sativas” recreativas são Cannabis sativa. O termo sativa tem valor como referência cultural e horticultural (por exemplo, cultivadores sabem que plantas sativa-predominante podem crescer muito e demorar 12 semanas para florir, necessitando técnicas específicas). Legalmente, a palavra aparece menos – leis falam só “Cannabis sativa”. Em essência, **sativa** no uso corrente identifica um **tipo de cannabis** associado a efeito mental animador e uso diurno.","[""Cannabis"", ""Cannabis Sativa"", ""Cultivares"", ""Cânhamo"", ""Dispensário"", ""Indica"", ""Limoneno"", ""Pineno"", ""THC"", ""Terpenos""]",[]
Sativex,sativex,"Ver **Mevatyl**, que é o nome do Sativex no Brasil.","[""Mevatyl""]",[]
SEC,sec,"Sigla para **Sistema Endocanabinoide**, rede de receptores, ligantes endógenos e enzimas que mantém a homeostase corporal. Ver **Sistema Endocanabinoide**.","[""Endocanabinoide"", ""Homeostase"", ""Sistema Endocanabinoide""]",[]
Sedativo,sedativo,"Qualquer agente que diminui a atividade do sistema nervoso, produzindo calmamento, sonolência ou facilitando o sono. No contexto da cannabis, certos perfis de planta têm efeito sedativo – especialmente variedades indica com terpeno **mirceno** abundante (mirceno tem propriedade sedativa reconhecida, semelhante a lúpulo) . O **CBD** isoladamente, em dose alta, pode exercer efeito sedativo leve em 92 alguns indivíduos (através de redução de ansiedade e relaxamento). O **CBN**, como mencionado, é possivelmente o canabinoide mais sedativo, embora seu efeito não seja forte; porém, quando combinado com THC, acredita-se que possa aumentar a indução de sono. Preparações de cannabis com 19 equilíbrio THC:CBD tendem a ter menos efeito sedativo do que THC puro – isto é evidenciado no fato de que THC isolado pode causar mais sonolência seguida de alerta, enquanto CBD modera isso. Além disso, a sedação também depende da dose: altas doses de qualquer canabinoide geralmente provocam cansaço. **Medicinalmente**, aproveitar o lado sedativo da cannabis é útil para insônia, distúrbios do sono relacionados a dor ou PTSD, etc. Muitos pacientes relatam melhoria do sono com óleo noturno de cannabis. Entretanto, o uso crônico pesado de cannabis recreativa pode desregular o ciclo de sono (reduz sono REM, por exemplo). Como categoria, “sedativo” inclui diversos medicamentos (benzodiazepínicos, barbitúricos, anti-histamínicos) – a cannabis não é classificada formalmente como sedativo, mas sim como psicotrópico com múltiplos efeitos. Em sumo, consideramos sedativo aqui como um dos efeitos possíveis da cannabis, dependendo da cepa e do contexto.","[""Ansiedade"", ""CBD"", ""CBN"", ""Cannabis"", ""Indica"", ""Insônia"", ""Mirceno"", ""RSO"", ""Sedativo"", ""Sonolência"", ""THC""]",[]
Sistema Endocanabinoide,sistema-endocanabinoide,"Conjunto de receptores canabinoides, ligantes endocanabinoides e enzimas associadas, formando um importante sistema de sinalização celular presente em todos os vertebrados. O SEC foi descoberto a partir de 1988-1990 durante pesquisas com THC. Seus principais receptores são o **CB1** (clonado em 1990\) e o **CB2** (clonado em 1993\) . Receptores CB1 estão abundantemente distribuídos no 48 49 sistema nervoso central (cérebro, medula), modulando processos como percepção de dor, memória, 1 50 apetite e humor . Receptores CB2 localizam-se sobretudo em células do sistema imunológico e tecidos periféricos, regulando inflamação e resposta imune . Os ligantes endógenos (ver 51 **Endocanabinoide**) são liberados conforme necessário para manter a **homeostase** – isto é, o equilíbrio de funções fisiológicas. O sistema endocanabinoide está envolvido na regulação de praticamente todos os processos corporais: dor, estresse, emoções, sono, apetite, metabolismo energético, memória, 52 53 função imunológica, inflamação, função cardiovascular, reprodução, dentre outros . Quando um fator externo (como uma doença) perturba a homeostase, o SEC entra em ação para restaurar o equilíbrio. A cannabis produz fitocanabinoides capazes de estimular ou modular o SEC, explicando seu amplo potencial terapêutico. Uma deficiência clínica do sistema endocanabinoide tem sido hipotetizada em condições como enxaqueca, fibromialgia e síndrome do intestino irritável, o que pode responder positivamente à terapia com canabinoides exógenos. Em suma, o SEC é um sistema neuro-modulador onipresente e vital.","[""CB1"", ""CB2"", ""Cannabis"", ""Endocanabinoide"", ""Endocanabinoides"", ""Fitocanabinoide"", ""Fitocanabinoides"", ""Homeostase"", ""Receptores Canabinoides"", ""SEC"", ""Sistema Endocanabinoide"", ""Sistema Imunológico"", ""THC""]",[]
Skunk,skunk,"Termo originado do nome de uma linhagem específica de cannabis (*Skunk\#1*, estabilizada na década de 1970 nos EUA/Holanda), mas que no Brasil passou a designar genericamente qualquer maconha de potência elevada. Literalmente “skunk” significa gambá em inglês – a variedade foi assim chamada pelo odor forte e penetrante. No mercado ilícito brasileiro, *skunk* costuma se referir a cannabis cultivada em ambiente controlado (indoor) com alto teor de THC, diferente da maconha “comum” (prensado paraguaio) que tem potência menor. Assim, traficantes e mídia usam “skunk” para indicar uma maconha 93 mais **forte que a comum**, muitas vezes vendida em flores soltas, não prensadas . Do ponto de vista botânico, a Skunk\#1 original era um híbrido 50/50 indica-sativa (Afghani x Acapulco Gold x Columbian), com THC em torno de 15%. Hoje existem muitas variantes de skunk e outras genéticas bem mais potentes (\>20% THC). No imaginário social brasileiro, skunk virou sinônimo de “super-maconha”. Isso gera certa confusão, pois tecnicamente todas são Cannabis sativa – a diferença está na concentração de canabinoides e frescor da planta. Como consequência, na Lei brasileira não existe distinção legal: tanto faz se é skunk ou “maconha do Paraguai”, ambas são cannabis. Porém, autoridades às vezes destacam apreensões de “skunk” para indicar quantidade menor com maior valor. No aspecto de saúde, o consumo de skunk (alto THC) sem CBD pode estar associado a risco ligeiramente maior de surtos psicóticos em indivíduos suscetíveis, segundo alguns estudos britânicos. Em resumo, skunk no contexto atual significa uma cannabis potente cultivada com técnicas aprimoradas – não um termo científico, 93 mas relevante no dia a dia das discussões sobre uso e tráfico de drogas no Brasil .","[""CBD"", ""Cannabis"", ""Cannabis Sativa"", ""Indica"", ""Maconha"", ""Sativa"", ""THC""]",[]
Terpenos,terpenos,"Grande classe de compostos orgânicos aromáticos produzidos por plantas (e alguns animais). Na cannabis, os terpenos são responsáveis pelos distintos aromas das diferentes variedades – cítrico, 8 terroso, apimentado, floral, etc. . Exemplos: **Mirceno** (cheiro de cravo/musk, comum em mangueira e lúpulo), **Limoneno** (cítrico, presente em cascas de frutas), **Linalol** (floral, lavanda), **Pineno** (pinho, em coníferas), **Beta-cariofileno** (picante, pimenta-do-reino), **Humuleno** (amadeirado, lúpulo). Além de conferir aroma e sabor, os terpenos apresentam atividades biológicas próprias e **modulam os efeitos** 42 **dos canabinoides** . Por exemplo, o beta-cariofileno é um terpeno especial por também ser um 44 *fitocanabinoide* que se liga diretamente ao receptor CB2, contribuindo para ação anti-inflamatória . O mirceno pode ter efeito sedativo e potencializar a passagem de canabinoides pela barreira hematoencefálica, aumentando efeito; o limoneno tem propriedades ansioliticas leves e pode melhorar o humor; o linalol é relaxante e anticonvulsivante; o pineno é broncodilatador e pode contrabalancear 20 déficit de memória induzido por THC. A interação combinada de terpenos com canabinoides é parte do **efeito entourage** – a presença de certos terpenos pode amplificar efeitos terapêuticos (como 43 94 analgesia) e/ou mitigar efeitos adversos (como ansiedade) . Do ponto de vista químico, terpenos são hidrocarbonetos (ou seus derivados oxigenados, terpenoides) construídos de unidades de isopreno. São voláteis, por isso conferem cheiro. No uso medicinal, terpenos também podem ter papel terapêutico: algumas formulações de cannabis adicionam terpenos específicos para direcionar efeitos. Entretanto, terpenos em altas concentrações (como em extratos purificados) podem irritar mucosas, então devem estar em equilíbrio. Em cultivo, técnicas de cura influenciam o perfil terpênico do produto final. Em suma, os terpenos são fundamentais para diferenciar variedades de cannabis e ampliar o espectro de ação, indo muito além de perfumar – eles **“amplificam ou modulam”** os efeitos dos 94 canabinoides .","[""Ansiedade"", ""Barreira Hematoencefálica"", ""Beta-Cariofileno"", ""Beta-cariofileno"", ""CB2"", ""Cannabis"", ""Cariofileno"", ""Efeito Entourage"", ""Fitocanabinoide"", ""Humuleno"", ""Limoneno"", ""Linalol"", ""Mirceno"", ""Pineno"", ""RSO"", ""Sedativo"", ""THC"", ""Terpenos""]",[]
Tetrahidrocanabivarina,tetrahidrocanabivarina,"Forma extensa de **THCV (Tetrahidrocanabivarina)**, canabinoide minoritário com ação bifásica sobre apetite. Ver **THCV** para detalhes.","[""THC"", ""THCV""]",[]
Tetraidrocanabinol,tetraidrocanabinol,"Principal composto psicoativo da cannabis. O Δ⁹-tetrahidrocanabinol, ou simplesmente THC, foi isolado em 1964 por Raphael Mechoulam e colaboradores em Israel . É responsável pelos efeitos 95 euforizantes e alteradores de percepção da maconha. Farmacologicamente, o THC atua principalmente como agonista parcial dos receptores canabinoides **CB1** (no sistema nervoso central) e **CB2** (periférico) 1 . Seus efeitos incluem: *psicoativos* (euforia, relaxamento, alteração sensorial e da noção de tempo, possível ansiedade ou paranoia em doses altas), *terapêuticos* (analgesia, relaxamento muscular, antiemese – combate náusea/vômito –, estimulação do apetite, indução de sono, redução de 2 96 espasticidade) . O THC também tem propriedades broncodilatadoras de curto prazo (por isso, cigarro de cannabis chegou a ser estudado para asma no passado) e pode diminuir pressão intraocular (motivo de uso em glaucoma). Em excesso, pode causar efeitos adversos como taquicardia, ansiedade, déficit de memória de curto prazo e coordenação motora prejudicada. **Medicamente**, o THC é utilizado em: controle de náuseas e vômitos de quimioterapia (oral sintético *dronabinol* aprovado desde 1986 6 ), estímulo de apetite em caquexia (AIDS ou câncer), alívio de dor neuropática e espasticidade (ex: medicamento Mevatyl contém THC \+ CBD). A potência da cannabis é frequentemente medida pelo teor de THC – plantas modernas podem ultrapassar 20-30% de THC nas flores. Tecnicamente, na planta o THC existe majoritariamente na forma ácida **THCA**, que se transforma em THC ativo via **descarboxilação** (calor). Em dezembro de 2020, a ONU retirou o THC da lista de substâncias mais restritas, reconhecendo seu valor médico , embora continue fiscalizado rigorosamente. No 84 organismo, o THC é metabolizado no fígado principalmente a **11-hidroxi-THC** (ativo, possivelmente 33 mais potente) e outros metabólitos, sendo excretado lentamente (meia-vida terminal pode ser de 97 98 dias, depositando-se no tecido adiposo ). Em testes toxicológicos, pode ser detectado na urina por semanas após uso crônico. Em resumo, o THC é o componente-chave da cannabis recreativa e uma das moléculas mais estudadas – vilão para uns, remédio para outros – e seu perfil singular de ação central define grande parte do debate em torno da maconha.","[""11-hidroxi-THC"", ""Agonista"", ""Ansiedade"", ""CB1"", ""CB2"", ""CBD"", ""Canabinol"", ""Cannabis"", ""Caquexia"", ""Descarboxilação"", ""Dronabinol"", ""Glaucoma"", ""Maconha"", ""Mevatyl"", ""Psicoativo"", ""Quimioterapia"", ""RSO"", ""Receptores Canabinoides"", ""THC"", ""THCA"", ""Taquicardia""]",[]
THC,thc,"Abreviação de **Tetraidrocanabinol**, principal composto psicoativo da cannabis. Ver **Tetraidrocanabinol**.","[""Canabinol"", ""Cannabis"", ""Psicoativo"", ""Tetraidrocanabinol""]",[]
THCV,thcv,"Canabinoide semelhante em estrutura ao THC, porém com uma cadeia lateral de 3 carbonos (em vez de 5 no THC), o que confere propriedades farmacológicas distintas. A THCV é encontrada em algumas variedades de cannabis, especialmente originárias da África (por ex. cepas *Durban Poison* e *Doug’s Varin* podem ter até \>1% THCV, um teor relativamente alto). Em baixas doses, a tetrahidrocanabivarina atua 21 como antagonista do receptor CB1, potencialmente suprimindo o apetite e atenuando efeitos do THC; em doses mais altas, curiosamente, passa a agir como agonista do CB1, podendo causar leve euforia e 10 efeitos semelhantes ao THC . Esse perfil bifásico torna a THCV um composto interessante para estudo. Ela não é psicoativa nas quantidades normalmente presentes na planta (traços), mas isolada em dose maior produz um “high” mais breve e clareador, conforme relatos. Pesquisas sugerem que a THCV tem propriedades *antidiabéticas* (melhora controle glicêmico e sensibilidade à insulina), *antiepilépticas* e *possível auxílio na perda de peso* (devido ao efeito anorexígeno em baixa dose). Também observou-se efeito em reduzir tremores em modelos de Parkinson e em atenuar ataques de pânico em estudos pré-clínicos. Comercialmente, a THCV começou a aparecer em extratos concentrados e produtos para consumidores buscando “energia” ou supressão de apetite. Contudo, a disponibilidade ainda é limitada. Como canabinoide minoritário, não há ampla regulamentação específica – ele é geralmente legal onde o CBD é legal, desde que derivado de cânhamo com THC baixo. Seu ponto de ebulição é mais alto que o do THC, então vaporização em temperatura maior extrai mais THCV. Em suma, a tetrahidrocanabivarina adiciona uma peça a mais no quebra-cabeças farmacológico da 10 cannabis, oferecendo efeitos quase opostos do THC em certas condições e sinérgicos em outras .","[""Agonista"", ""Antagonista"", ""CB1"", ""CBD"", ""Cannabis"", ""Cânhamo"", ""Parkinson"", ""THC"", ""THCV"", ""Tetrahidrocanabivarina""]",[]
Tintura de Cannabis,tintura-de-cannabis,"Extrato hidroalcoólico da cannabis, bastante utilizado em épocas anteriores à proibição (final do século XIX e início do XX) como medicamento em farmacopeias ocidentais. A tintura era preparada macerando se flores de Cannabis em álcool de cereais por alguns dias, coando o líquido resultante – que ficava esverdeado, conhecido como *“Tintura de Cannabis indica”* ou *“Cannabis Tincture”*. Cada ml podia conter uma certa quantidade de canabinoides, embora na época não se conhecesse THC/CBD isoladamente. Essas tinturas eram indicadas para uma variedade de condições: dor, cólicas, espasmos, insônia, enxaquecas e como sedativo leve. Com a padronização dos medicamentos modernos e a ilegalidade da cannabis, as tinturas desapareceram das prateleiras por muitas décadas. Nos últimos anos, com a retomada do uso medicinal, o conceito de tintura renasceu – algumas preparações caseiras ou artesanais de cannabis utilizam glicerina ou álcool para extrair os princípios ativos, criando “tinturas” para uso sublingual. Por exemplo, em alguns estados dos EUA onde é legal, vendem-se tinturas de cannabis com sabores, voltadas a quem prefere não fumar. A diferença entre tintura e óleo é basicamente o solvente veicular (álcool vs óleo). A absorção sublingual do álcool pode ser ligeiramente mais rápida que a do óleo. Em contrapartida, altas concentrações de álcool podem irritar a mucosa oral, então dose-se gotas moderadas. No Brasil, devido às restrições, não há tinturas industrializadas disponíveis – mas algumas associações de pacientes preparam extratos em álcool para casos específicos. Historicamente e culturalmente, a tintura representa a **origem farmacêutica** do uso medicinal da cannabis no Ocidente. Hoje, enquanto forma farmacêutica, poderia ser incorporada se regulamentada, dada sua facilidade de uso e rápida biodisponibilidade.","[""Biodisponibilidade"", ""CBD"", ""Cannabis"", ""Indica"", ""Insônia"", ""Sedativo"", ""THC""]",[]
